randmarks, x_dist, y_dist, time
0,0.852109492,0.935442805,1646125964
,,,
1,0.884804428,0.927938282,1646125964
,,,
2,0.920115471,0.940912187,1646125964
,,,
3,0.946532726,0.957726359,1646125964
,,,
4,0.966089725,0.966235578,1646125964
,,,
5,0.941531479,0.951705813,1646125964
,,,
6,0.977287054,0.945886672,1646125964
,,,
7,1.000868559,0.93970561,1646125964
,,,
8,1.020363927,0.934813499,1646125964
,,,
9,0.939607739,0.954449594,1646125964
,,,
10,0.97597295,0.949498117,1646125964
,,,
11,0.999731362,0.943039298,1646125964
,,,
12,1.019657969,0.935753584,1646125964
,,,
13,0.934963107,0.954650521,1646125964
,,,
14,0.97037077,0.953068197,1646125964
,,,
15,0.993804991,0.948630393,1646125964
,,,
16,1.012486458,0.943658292,1646125964
,,,
17,0.928582728,0.952720165,1646125964
,,,
18,0.95502013,0.958373725,1646125964
,,,
19,0.973123193,0.960744143,1646125964
,,,
0,0.852109492,0.935442805,1646125964
,,,
1,0.884804428,0.927938282,1646125964
,,,
2,0.920115471,0.940912187,1646125964
,,,
3,0.946532726,0.957726359,1646125964
,,,
4,0.966089725,0.966235578,1646125964
,,,
5,0.941531479,0.951705813,1646125964
,,,
6,0.977287054,0.945886672,1646125964
,,,
7,1.000868559,0.93970561,1646125964
,,,
8,1.020363927,0.934813499,1646125964
,,,
9,0.939607739,0.954449594,1646125964
,,,
10,0.97597295,0.949498117,1646125964
,,,
11,0.999731362,0.943039298,1646125964
,,,
12,1.019657969,0.935753584,1646125964
,,,
13,0.934963107,0.954650521,1646125964
,,,
14,0.97037077,0.953068197,1646125964
,,,
15,0.993804991,0.948630393,1646125964
,,,
16,1.012486458,0.943658292,1646125964
,,,
17,0.928582728,0.952720165,1646125964
,,,
18,0.95502013,0.958373725,1646125964
,,,
19,0.973123193,0.960744143,1646125964
,,,
0,0.852109492,0.935442805,1646125964
,,,
1,0.884804428,0.927938282,1646125964
,,,
2,0.920115471,0.940912187,1646125964
,,,
3,0.946532726,0.957726359,1646125964
,,,
4,0.966089725,0.966235578,1646125964
,,,
5,0.941531479,0.951705813,1646125964
,,,
6,0.977287054,0.945886672,1646125964
,,,
7,1.000868559,0.93970561,1646125964
,,,
8,1.020363927,0.934813499,1646125964
,,,
9,0.939607739,0.954449594,1646125964
,,,
10,0.97597295,0.949498117,1646125964
,,,
11,0.999731362,0.943039298,1646125964
,,,
12,1.019657969,0.935753584,1646125964
,,,
13,0.934963107,0.954650521,1646125964
,,,
14,0.97037077,0.953068197,1646125964
,,,
15,0.993804991,0.948630393,1646125964
,,,
16,1.012486458,0.943658292,1646125964
,,,
17,0.928582728,0.952720165,1646125964
,,,
18,0.95502013,0.958373725,1646125964
,,,
19,0.973123193,0.960744143,1646125964
,,,
0,0.852109492,0.935442805,1646125964
,,,
1,0.884804428,0.927938282,1646125964
,,,
2,0.920115471,0.940912187,1646125964
,,,
3,0.946532726,0.957726359,1646125964
,,,
4,0.966089725,0.966235578,1646125964
,,,
5,0.941531479,0.951705813,1646125964
,,,
6,0.977287054,0.945886672,1646125964
,,,
7,1.000868559,0.93970561,1646125964
,,,
8,1.020363927,0.934813499,1646125964
,,,
9,0.939607739,0.954449594,1646125964
,,,
10,0.97597295,0.949498117,1646125964
,,,
11,0.999731362,0.943039298,1646125964
,,,
12,1.019657969,0.935753584,1646125964
,,,
13,0.934963107,0.954650521,1646125964
,,,
14,0.97037077,0.953068197,1646125964
,,,
15,0.993804991,0.948630393,1646125964
,,,
16,1.012486458,0.943658292,1646125964
,,,
17,0.928582728,0.952720165,1646125964
,,,
18,0.95502013,0.958373725,1646125964
,,,
19,0.973123193,0.960744143,1646125964
,,,
0,0.852109492,0.935442805,1646125964
,,,
1,0.884804428,0.927938282,1646125964
,,,
2,0.920115471,0.940912187,1646125964
,,,
3,0.946532726,0.957726359,1646125964
,,,
4,0.966089725,0.966235578,1646125964
,,,
5,0.941531479,0.951705813,1646125964
,,,
6,0.977287054,0.945886672,1646125964
,,,
7,1.000868559,0.93970561,1646125964
,,,
8,1.020363927,0.934813499,1646125964
,,,
9,0.939607739,0.954449594,1646125964
,,,
10,0.97597295,0.949498117,1646125964
,,,
11,0.999731362,0.943039298,1646125964
,,,
12,1.019657969,0.935753584,1646125964
,,,
13,0.934963107,0.954650521,1646125964
,,,
14,0.97037077,0.953068197,1646125964
,,,
15,0.993804991,0.948630393,1646125964
,,,
16,1.012486458,0.943658292,1646125964
,,,
17,0.928582728,0.952720165,1646125964
,,,
18,0.95502013,0.958373725,1646125964
,,,
19,0.973123193,0.960744143,1646125964
,,,
0,0.67813313,0.885481596,1646125964
,,,
1,0.702232718,0.85316211,1646125964
,,,
2,0.722343981,0.8125453,1646125964
,,,
3,0.750267684,0.786434352,1646125964
,,,
4,0.781365156,0.771963775,1646125964
,,,
5,0.649620712,0.721418977,1646125964
,,,
6,0.645223975,0.636927783,1646125964
,,,
7,0.643981338,0.587135792,1646125964
,,,
8,0.641750157,0.543336809,1646125964
,,,
9,0.616441488,0.738352239,1646125964
,,,
10,0.590829909,0.649748504,1646125964
,,,
11,0.573917627,0.594622374,1646125964
,,,
12,0.559149086,0.548456132,1646125964
,,,
13,0.593137681,0.776195824,1646125964
,,,
14,0.553683698,0.724459767,1646125964
,,,
15,0.522877991,0.687806547,1646125964
,,,
16,0.497020185,0.654272377,1646125964
,,,
17,0.577660501,0.827079773,1646125964
,,,
18,0.535491943,0.791873574,1646125964
,,,
19,0.510927916,0.769800246,1646125964
,,,
0,0.67813313,0.885481596,1646125964
,,,
1,0.702232718,0.85316211,1646125964
,,,
2,0.722343981,0.8125453,1646125964
,,,
3,0.750267684,0.786434352,1646125964
,,,
4,0.781365156,0.771963775,1646125964
,,,
5,0.649620712,0.721418977,1646125964
,,,
6,0.645223975,0.636927783,1646125964
,,,
7,0.643981338,0.587135792,1646125964
,,,
8,0.641750157,0.543336809,1646125964
,,,
9,0.616441488,0.738352239,1646125964
,,,
10,0.590829909,0.649748504,1646125964
,,,
11,0.573917627,0.594622374,1646125964
,,,
12,0.559149086,0.548456132,1646125964
,,,
13,0.593137681,0.776195824,1646125964
,,,
14,0.553683698,0.724459767,1646125964
,,,
15,0.522877991,0.687806547,1646125964
,,,
16,0.497020185,0.654272377,1646125964
,,,
17,0.577660501,0.827079773,1646125964
,,,
18,0.535491943,0.791873574,1646125964
,,,
19,0.510927916,0.769800246,1646125964
,,,
0,0.67813313,0.885481596,1646125964
,,,
1,0.702232718,0.85316211,1646125964
,,,
2,0.722343981,0.8125453,1646125964
,,,
3,0.750267684,0.786434352,1646125964
,,,
4,0.781365156,0.771963775,1646125964
,,,
5,0.649620712,0.721418977,1646125964
,,,
6,0.645223975,0.636927783,1646125964
,,,
7,0.643981338,0.587135792,1646125964
,,,
8,0.641750157,0.543336809,1646125964
,,,
9,0.616441488,0.738352239,1646125964
,,,
10,0.590829909,0.649748504,1646125964
,,,
11,0.573917627,0.594622374,1646125964
,,,
12,0.559149086,0.548456132,1646125964
,,,
13,0.593137681,0.776195824,1646125964
,,,
14,0.553683698,0.724459767,1646125964
,,,
15,0.522877991,0.687806547,1646125964
,,,
16,0.497020185,0.654272377,1646125964
,,,
17,0.577660501,0.827079773,1646125964
,,,
18,0.535491943,0.791873574,1646125964
,,,
19,0.510927916,0.769800246,1646125964
,,,
0,0.67813313,0.885481596,1646125964
,,,
1,0.702232718,0.85316211,1646125964
,,,
2,0.722343981,0.8125453,1646125964
,,,
3,0.750267684,0.786434352,1646125964
,,,
4,0.781365156,0.771963775,1646125964
,,,
5,0.649620712,0.721418977,1646125964
,,,
6,0.645223975,0.636927783,1646125964
,,,
7,0.643981338,0.587135792,1646125964
,,,
8,0.641750157,0.543336809,1646125964
,,,
9,0.616441488,0.738352239,1646125964
,,,
10,0.590829909,0.649748504,1646125964
,,,
11,0.573917627,0.594622374,1646125964
,,,
12,0.559149086,0.548456132,1646125964
,,,
13,0.593137681,0.776195824,1646125964
,,,
14,0.553683698,0.724459767,1646125964
,,,
15,0.522877991,0.687806547,1646125964
,,,
16,0.497020185,0.654272377,1646125964
,,,
17,0.577660501,0.827079773,1646125964
,,,
18,0.535491943,0.791873574,1646125964
,,,
19,0.510927916,0.769800246,1646125964
,,,
0,0.67813313,0.885481596,1646125964
,,,
1,0.702232718,0.85316211,1646125964
,,,
2,0.722343981,0.8125453,1646125964
,,,
3,0.750267684,0.786434352,1646125964
,,,
4,0.781365156,0.771963775,1646125964
,,,
5,0.649620712,0.721418977,1646125964
,,,
6,0.645223975,0.636927783,1646125964
,,,
7,0.643981338,0.587135792,1646125964
,,,
8,0.641750157,0.543336809,1646125964
,,,
9,0.616441488,0.738352239,1646125964
,,,
10,0.590829909,0.649748504,1646125964
,,,
11,0.573917627,0.594622374,1646125964
,,,
12,0.559149086,0.548456132,1646125964
,,,
13,0.593137681,0.776195824,1646125964
,,,
14,0.553683698,0.724459767,1646125964
,,,
15,0.522877991,0.687806547,1646125964
,,,
16,0.497020185,0.654272377,1646125964
,,,
17,0.577660501,0.827079773,1646125964
,,,
18,0.535491943,0.791873574,1646125964
,,,
19,0.510927916,0.769800246,1646125964
,,,
0,0.611140668,0.864880562,1646125964
,,,
1,0.646689057,0.82734704,1646125964
,,,
2,0.676015615,0.776949167,1646125964
,,,
3,0.700050294,0.740661502,1646125964
,,,
4,0.725773811,0.725424647,1646125964
,,,
5,0.620672643,0.686990976,1646125964
,,,
6,0.627331316,0.611501694,1646125964
,,,
7,0.642359197,0.574626446,1646125964
,,,
8,0.657880962,0.550175905,1646125964
,,,
9,0.582571924,0.690189481,1646125964
,,,
10,0.567110717,0.602054238,1646125964
,,,
11,0.561047852,0.54018569,1646125964
,,,
12,0.556787431,0.490153909,1646125964
,,,
13,0.551657796,0.71728152,1646125964
,,,
14,0.526175976,0.637413621,1646125964
,,,
15,0.508912325,0.575121462,1646125964
,,,
16,0.495931089,0.523225665,1646125964
,,,
17,0.528079391,0.760192096,1646125964
,,,
18,0.483775258,0.718302667,1646125964
,,,
19,0.451716185,0.687215388,1646125964
,,,
0,0.611140668,0.864880562,1646125964
,,,
1,0.646689057,0.82734704,1646125964
,,,
2,0.676015615,0.776949167,1646125964
,,,
3,0.700050294,0.740661502,1646125964
,,,
4,0.725773811,0.725424647,1646125964
,,,
5,0.620672643,0.686990976,1646125964
,,,
6,0.627331316,0.611501694,1646125964
,,,
7,0.642359197,0.574626446,1646125964
,,,
8,0.657880962,0.550175905,1646125964
,,,
9,0.582571924,0.690189481,1646125964
,,,
10,0.567110717,0.602054238,1646125964
,,,
11,0.561047852,0.54018569,1646125964
,,,
12,0.556787431,0.490153909,1646125964
,,,
13,0.551657796,0.71728152,1646125964
,,,
14,0.526175976,0.637413621,1646125964
,,,
15,0.508912325,0.575121462,1646125964
,,,
16,0.495931089,0.523225665,1646125964
,,,
17,0.528079391,0.760192096,1646125964
,,,
18,0.483775258,0.718302667,1646125964
,,,
19,0.451716185,0.687215388,1646125964
,,,
0,0.611140668,0.864880562,1646125964
,,,
1,0.646689057,0.82734704,1646125964
,,,
2,0.676015615,0.776949167,1646125964
,,,
3,0.700050294,0.740661502,1646125964
,,,
4,0.725773811,0.725424647,1646125964
,,,
5,0.620672643,0.686990976,1646125964
,,,
6,0.627331316,0.611501694,1646125964
,,,
7,0.642359197,0.574626446,1646125964
,,,
8,0.657880962,0.550175905,1646125964
,,,
9,0.582571924,0.690189481,1646125964
,,,
10,0.567110717,0.602054238,1646125964
,,,
11,0.561047852,0.54018569,1646125964
,,,
12,0.556787431,0.490153909,1646125964
,,,
13,0.551657796,0.71728152,1646125964
,,,
14,0.526175976,0.637413621,1646125964
,,,
15,0.508912325,0.575121462,1646125964
,,,
16,0.495931089,0.523225665,1646125964
,,,
17,0.528079391,0.760192096,1646125964
,,,
18,0.483775258,0.718302667,1646125964
,,,
19,0.451716185,0.687215388,1646125964
,,,
0,0.611140668,0.864880562,1646125964
,,,
1,0.646689057,0.82734704,1646125964
,,,
2,0.676015615,0.776949167,1646125964
,,,
3,0.700050294,0.740661502,1646125964
,,,
4,0.725773811,0.725424647,1646125964
,,,
5,0.620672643,0.686990976,1646125964
,,,
6,0.627331316,0.611501694,1646125964
,,,
7,0.642359197,0.574626446,1646125964
,,,
8,0.657880962,0.550175905,1646125964
,,,
9,0.582571924,0.690189481,1646125964
,,,
10,0.567110717,0.602054238,1646125964
,,,
11,0.561047852,0.54018569,1646125964
,,,
12,0.556787431,0.490153909,1646125964
,,,
13,0.551657796,0.71728152,1646125964
,,,
14,0.526175976,0.637413621,1646125964
,,,
15,0.508912325,0.575121462,1646125964
,,,
16,0.495931089,0.523225665,1646125964
,,,
17,0.528079391,0.760192096,1646125964
,,,
18,0.483775258,0.718302667,1646125964
,,,
19,0.451716185,0.687215388,1646125964
,,,
0,0.611140668,0.864880562,1646125964
,,,
1,0.646689057,0.82734704,1646125964
,,,
2,0.676015615,0.776949167,1646125964
,,,
3,0.700050294,0.740661502,1646125964
,,,
4,0.725773811,0.725424647,1646125964
,,,
5,0.620672643,0.686990976,1646125964
,,,
6,0.627331316,0.611501694,1646125964
,,,
7,0.642359197,0.574626446,1646125964
,,,
8,0.657880962,0.550175905,1646125964
,,,
9,0.582571924,0.690189481,1646125964
,,,
10,0.567110717,0.602054238,1646125964
,,,
11,0.561047852,0.54018569,1646125964
,,,
12,0.556787431,0.490153909,1646125964
,,,
13,0.551657796,0.71728152,1646125964
,,,
14,0.526175976,0.637413621,1646125964
,,,
15,0.508912325,0.575121462,1646125964
,,,
16,0.495931089,0.523225665,1646125964
,,,
17,0.528079391,0.760192096,1646125964
,,,
18,0.483775258,0.718302667,1646125964
,,,
19,0.451716185,0.687215388,1646125964
,,,
0,0.568021595,0.838086665,1646125964
,,,
1,0.609699667,0.796228528,1646125964
,,,
2,0.641417801,0.735683739,1646125964
,,,
3,0.665832341,0.687826276,1646125964
,,,
4,0.694722235,0.65368247,1646125964
,,,
5,0.579983115,0.648122549,1646125964
,,,
6,0.588804245,0.569229364,1646125964
,,,
7,0.603892386,0.521165907,1646125964
,,,
8,0.61823833,0.484171122,1646125964
,,,
9,0.540984511,0.652426481,1646125964
,,,
10,0.522152841,0.557531834,1646125964
,,,
11,0.513574719,0.494606256,1646125964
,,,
12,0.506210327,0.444902271,1646125964
,,,
13,0.509842753,0.679837167,1646125964
,,,
14,0.482004106,0.595145822,1646125964
,,,
15,0.464985788,0.534691989,1646125964
,,,
16,0.451987088,0.486582577,1646125964
,,,
17,0.486582488,0.727363288,1646125964
,,,
18,0.440226197,0.685642123,1646125964
,,,
19,0.407218695,0.655461967,1646125964
,,,
0,0.568021595,0.838086665,1646125964
,,,
1,0.609699667,0.796228528,1646125964
,,,
2,0.641417801,0.735683739,1646125964
,,,
3,0.665832341,0.687826276,1646125964
,,,
4,0.694722235,0.65368247,1646125964
,,,
5,0.579983115,0.648122549,1646125964
,,,
6,0.588804245,0.569229364,1646125964
,,,
7,0.603892386,0.521165907,1646125964
,,,
8,0.61823833,0.484171122,1646125964
,,,
9,0.540984511,0.652426481,1646125964
,,,
10,0.522152841,0.557531834,1646125964
,,,
